sol_index,City,Labels,Rice,Maize,Sorghum,Sugar cane,Sunflower,Soybean,Sesame,Peanuts,vegetables,Cotton,Green folder,Fully grown Onions
Solution 2,Cairo,Water,0,0,763152.1739130435,0,0,0,0,0,0,0,0,0
Solution 2,Cairo,Area,0,0,595.0,0,0,0,0,0,0,0,0,0
Solution 2,Cairo,Production,0,0,1172.753623188406,0,0,0,0,0,0,0,0,0
Solution 2,Alexandria,Water,0,0,0,258999.99999999997,0,0,3386000.0,0,0,0,0,0
Solution 2,Alexandria,Area,0,0,0,1665.0,0,0,1708.0,0,0,0,0,0
Solution 2,Alexandria,Production,0,0,0,659.0,0,0,1929.0,0,0,0,0,0
Solution 2,Port said,Water,0,0,173186883.5414763,0,0,0,0,0,1018000.0,0,0,0
Solution 2,Port said,Area,0,0,50696.0,0,0,0,0,0,2085.940654259328,0,0,0
Solution 2,Port said,Production,0,0,124014.49162351507,0,0,0,0,0,32307.595999335776,0,0,0
Solution 2,Suez,Water,0,0,38658541.35338346,0,0,0,0,0,0,0,0,0
Solution 2,Suez,Area,0,0,12454.0,0,0,0,0,0,0,0,0,0
Solution 2,Suez,Production,0,0,27157.739348370927,0,0,0,0,0,0,0,0,0
Solution 2,Damietta,Water,895311135.8294907,0,0,0,0,80000.0,0,0,0,0,0,0
Solution 2,Damietta,Area,156233.0,0,0,0,0,25.0,0,0,0,0,0,0
Solution 2,Damietta,Production,538849.3068488494,0,0,0,0,35.0,0,0,0,0,0,0
Solution 2,Dakahlia,Water,1310861000.0,0,225691356.14325994,1974000.0,0,21594000.0,0,0,0,118269000.0,0,0
Solution 2,Dakahlia,Area,228275.0,0,168696.94065425932,252.0,0,6749.0,0,0,0,51858.0,0,0
Solution 2,Dakahlia,Production,832509.0,0,657615.9845470338,9708.0,0,8307.0,0,0,0,78104.0,0,0
Solution 2,Sharkia,Water,2832360919.5610137,0,0,0,0,3106000.0,0,0,0,121985000.0,72215000.0,0
Solution 2,Sharkia,Area,543014.9060827468,0,0,0,0,1136.0,0,0,0,49522.0,32773.0,0
Solution 2,Sharkia,Production,1836419.432587528,0,0,0,0,1334.0,0,0,0,69281.0,667529.0,0
Solution 2,Quliubiya,Water,0,0,543633131.2031225,0,0,0,0,0,0,0,0,0
Solution 2,Quliubiya,Area,0,0,179877.15326299384,0,0,0,0,0,0,0,0,0
Solution 2,Quliubiya,Production,0,0,609864.0941133761,0,0,0,0,0,0,0,0,0
Solution 2,Kafr el sheikh,Water,0,0,1244659343.000929,752000.0,0,0,0,0,0,0,0,0
Solution 2,Kafr el sheikh,Area,0,0,393741.94065425935,96.0,0,0,0,0,0,0,0,0
Solution 2,Kafr el sheikh,Production,0,0,1392148.665339567,3959.0,0,0,0,0,0,0,0,0
Solution 2,Gharbia,Water,0,0,511099053.0612905,0,0,0,0,0,0,0,0,0
Solution 2,Gharbia,Area,0,0,225875.9060827468,0,0,0,0,0,0,0,0,0
Solution 2,Gharbia,Production,0,0,744061.808272578,0,0,0,0,0,0,0,0,0
Solution 2,Monoufia,Water,0,0,0,0,0,41273499.47368421,0,0,0,590602021.0864618,153275043.90590996,0
Solution 2,Monoufia,Area,0,0,0,0,0,12775.130789473682,0,0,0,189973.9692377702,50067.05323574998,0
Solution 2,Monoufia,Production,0,0,0,0,0,37342.68999999999,0,0,0,276468.74,588788.5460524197,0
Solution 2,Behaira,Water,0,0,1533882585.278724,0,7035000.0,0,0,0,0,0,0,0
Solution 2,Behaira,Area,0,0,513208.94065425935,0,3952.0,0,0,0,0,0,0,0
