sol_index,Labels,Rice,Maize,Sorghum,Sugar cane,Sunflower,Soybean,Sesame,Peanuts,vegetables,Cotton,Green folder,Fully grown Onions,Total
22,water,5038533055.390505,943399866.4120042,8076133768.62044,2547053303.898679,27625504.25282546,67423209.47368422,79032940.44392523,87112993.84973791,134172184.16360699,847077554.4027302,1578252684.8252666,1049000.0,19426866065.73
22,area,927522.9060827468,328699.1708596663,2234650.1589732505,332271.6553662612,11689.919673503566,21023.445789473684,46252.36385514017,52293.857833430404,283198.43022292975,296862.5346075085,445314.34272038547,700.5,4980479.29
40,prod,2653993.78303875,784447.3850696755,7265742.820000001,11761429.090000004,13206.709999999995,47950.06999999997,29806.185000000005,85582.16,11641498.403579528,434254.22,3599930.4400000004,9157.0,38326998.27
40,water,4157605565.2131352,1487111947.4958334,8180355462.647602,2606388971.367845,20162271.129296232,62632024.73684207,92806665.14408098,92777776.44729179,195618736.89987728,1041543746.3204179,894552710.015295,896000.0000000001,18832451877.42
40,area,781662.4060827468,376403.23541029904,2452103.5530867367,341895.0865023349,9658.65505728314,18810.602894736832,50602.21186526478,54324.59761211416,289738.0129317204,311204.2049233768,269072.0554824109,606.0,4956080.62
41,prod,2543150.481246219,784447.3850696756,7622521.240159277,11761429.09,13206.709999999995,47950.06999999994,29806.18499999999,85582.16000000002,11641498.403579528,449934.09621821716,3599930.4400000004,9188.0,38588644.26
41,water,3986648848.778309,1487375084.1902118,8531907876.908702,2605326349.497998,20162271.129296232,75044603.68421046,92896413.58644858,91856236.55212583,200771570.78296384,956728561.0622951,783309337.1804836,900000.0000000001,18832927153.35
41,area,748886.9060827468,427773.883156064,2455687.1974936775,341557.9391664064,9658.65505728314,22717.73447368419,50704.36061915886,54398.46423995342,292688.2437878449,314802.4187893097,235548.06874230562,608.5,4955032.37
60,prod,2653993.78303875,792468.7750696756,7337622.760000001,11919660.120000005,13317.28,48415.75999999997,29656.07999999999,86418.87999999999,11759574.525999513,438489.95999999996,3635133.919999999,9157.0,38723908.84
60,water,4157605565.2131352,1498457165.274041,8377867134.396641,2638261369.773468,20242981.80032733,63146734.73684208,93629138.28660434,93667613.79149678,205370797.2052454,1055272761.8368368,867841541.201971,896000.0000000001,19072258803.52
60,area,781662.4060827468,375773.5965216897,2450057.4531365754,345457.8278912706,9702.810671031097,18969.917894736835,51067.20862928347,54847.24304018637,297128.6637955828,314474.90287087404,255864.98491069183,606.0,4955613.02
61,prod,2543150.481246219,792468.7750696756,7608875.723936289,11919660.120000001,13317.28,48415.75999999995,29656.079999999994,86418.88,11759574.525999514,449702.24541523703,3635133.92,9188.0,38895561.79
61,water,3986648848.778309,1498720301.9684193,8546721564.910519,2637198747.9036207,20242981.80032733,75559313.68421048,93718886.72897193,92746073.89633082,210523631.08833197,956233273.4112189,789075294.2044923,900000.0000000001,18908288918.37
61,area,748886.9060827468,430574.25721495185,2438732.2198049086,345120.6805553421,9702.810671031097,22877.049473684194,51169.35738317756,54921.10966802563,300078.89465170726,314643.1037893096,237249.87590919482,608.5,4954564.77
80,prod,2653993.78303875,800490.1650696757,7409502.7,12077891.150000002,11038.850000000006,48881.44999999998,29952.974999999995,87255.60000000002,11877650.648419501,442725.70000000007,3670337.4,9157.0,39118877.42
80,water,4157605565.2131352,1509802383.0522485,8583531998.129243,2670133768.1790905,20323692.471358433,63661444.73684209,94451611.4291277,94557451.13570184,215122857.51061368,1069001777.3532561,841130372.3886472,896000.0000000001,19320218921.6
80,area,781662.4060827468,375143.95763308014,2448011.353186414,349020.5692802062,9746.966284779053,19129.232894736837,51532.20539330217,55369.88846825861,304519.3146594452,317745.60081837134,242657.91433897306,606.0,4955145.41
