sol_index,Crop_Name,Water,Area,Production
21,Rice,3986648848.778309,748886.9060827468,2543150.481246219
21,Maize,1476029866.4120042,424973.50909717625,776425.9950696756
21,Sorghum,8437675715.61055,2466177.650029944,7193862.879999998
21,Sugar cane,2573453951.0923753,337995.1977774708,11603198.06
21,Sunflower,20081560.458265156,9614.499443535198,10707.140000000025
21,Soybean,74529893.68421055,22558.41947368422,47484.38000000002
21,Sesame,92073940.44392526,50239.3638551402,29062.290000000008
21,Peanuts,90966399.20792077,53875.81881188118,84745.43999999999
21,vegetables,191019510.4775957,285297.5929239825,11523422.281159543
21,Cotton,957223848.7133712,314961.7337893096,450165.94702119724
21,Green folder,791625539.829215,240310.7867279193,3564726.96
21,Fully grown Onions,900000.0000000001,608.5,9188.0
22,Rice,5038533055.390505,927522.9060827468,3207777.7394363773
22,Maize,943399866.4120042,328699.1708596663,776425.9950696756
22,Sorghum,8076133768.62044,2234650.1589732505,7126144.248422912
22,Sugar cane,2547053303.898679,332271.6553662612,11603198.060000004
22,Sunflower,27625504.25282546,11689.919673503566,10707.140000000005
22,Soybean,67423209.47368422,21023.445789473684,47484.38
22,Sesame,79032940.44392523,46252.36385514017,29062.29
22,Peanuts,87112993.84973791,52293.857833430404,84745.44
22,vegetables,134172184.16360699,283198.43022292975,11523422.28115954
22,Cotton,847077554.4027302,296862.5346075085,430018.48
22,Green folder,1578252684.8252666,445314.34272038547,3564726.96
22,Fully grown Onions,1049000.0,700.5,10486.0
40,Rice,4157605565.2131352,781662.4060827468,2653993.78303875
40,Maize,1487111947.4958334,376403.23541029904,784447.3850696755
40,Sorghum,8180355462.647602,2452103.5530867367,7265742.820000001
40,Sugar cane,2606388971.367845,341895.0865023349,11761429.090000004
40,Sunflower,20162271.129296232,9658.65505728314,13206.709999999995
40,Soybean,62632024.73684207,18810.602894736832,47950.06999999997
40,Sesame,92806665.14408098,50602.21186526478,29806.185000000005
40,Peanuts,92777776.44729179,54324.59761211416,85582.16
40,vegetables,195618736.89987728,289738.0129317204,11641498.403579528
40,Cotton,1041543746.3204179,311204.2049233768,434254.22
40,Green folder,894552710.015295,269072.0554824109,3599930.4400000004
40,Fully grown Onions,896000.0000000001,606.0,9157.0
41,Rice,3986648848.778309,748886.9060827468,2543150.481246219
