water,area,prod,city,name,visited,rank,season,region_name
0,0,0,Minya,Cotton,1,14,,
19037000.0,4474.0,0,Assuit,Cotton,0,15,,
3787000.0,890.0,0,Sohag,Cotton,0,16,,
0,0,0,Aswan,Cotton,0,17,,
0,0,0,Cairo,Cotton,0,18,,
0,0,0,Giza,Cotton,0,19,,
0,0,0,Luxor,Cotton,0,20,,
0,0,0,Qena,Cotton,0,21,,
0,0,0,Suez,Cotton,0,22,,
2476000.0,2065.0,26028.0,Alexandria,Green folder,1,1,,
10710000.0,5156.0,114189.0,Ismailia,Green folder,1,2,,
0,0,0,Sharkia,Green folder,1,3,,
0,0,0,Beni sweif,Green folder,1,4,,
0,0,0,Cairo,Green folder,1,5,,
0,0,0,Aswan,Green folder,1,6,,
0,0,0,Luxor,Green folder,1,7,,
271844289.586829,97707.19819912592,1008874.590089218,Minya,Green folder,1,8,,
0,0,0,Suez,Green folder,1,9,,
0,0,0,Qena,Green folder,1,10,,
0,0,0,Dakahlia,Green folder,1,11,,
0,0,0,Kafr el sheikh,Green folder,1,12,,
0,0,0,Behaira,Green folder,1,13,,
0,0,0,Damietta,Green folder,1,14,,
0,0,0,Port said,Green folder,1,15,,
0,0,0,Quliubiya,Green folder,1,16,,
0,0,0,Gharbia,Green folder,1,17,,
0,0,0,Monoufia,Green folder,1,18,,
399918589.2417903,118034.92785500392,2441663.369910782,Assuit,Green folder,1,19,,
0,0,0,Giza,Green folder,1,20,,
147054000.0,39144.0,0,Fayoum,Green folder,0,21,,
91736999.99999999,22237.0,0,Sohag,Green folder,0,22,,
15000.000000000002,21.0,215.0,Ismailia,Fully grown Onions,1,1,,
896000.0000000001,606.0,9157.0,Behaira,Fully grown Onions,1,2,,
0,0,0,Sharkia,Fully grown Onions,1,3,,
0,0,0,Damietta,Fully grown Onions,1,4,,
0,0,0,Dakahlia,Fully grown Onions,1,5,,
0,0,0,Monoufia,Fully grown Onions,1,6,,
0,0,0,Giza,Fully grown Onions,1,7,,
0,0,0.0,Alexandria,Fully grown Onions,0,8,,
0,0,0.0,Assuit,Fully grown Onions,0,9,,
0,0,0.0,Aswan,Fully grown Onions,0,10,,
0,0,0.0,Beni sweif,Fully grown Onions,0,11,,
0,0,0.0,Cairo,Fully grown Onions,0,12,,
0,0,0.0,Fayoum,Fully grown Onions,0,13,,
0,0,0.0,Gharbia,Fully grown Onions,0,14,,
0,0,0.0,Kafr el sheikh,Fully grown Onions,0,15,,
0,0,0.0,Luxor,Fully grown Onions,0,16,,
0,0,0.0,Minya,Fully grown Onions,0,17,,
0,0,0.0,Port said,Fully grown Onions,0,18,,
0,0,0.0,Qena,Fully grown Onions,0,19,,
0,0,0.0,Quliubiya,Fully grown Onions,0,20,,
0,0,0.0,Sohag,Fully grown Onions,0,21,,
0,0,0.0,Suez,Fully grown Onions,0,22,,
579000.0,4770.0,12522.5,Luxor,Medical and Aromatic plants,1,1,,
956000.0,7875.0,20674.0,Aswan,Medical and Aromatic plants,1,2,,
0,0,0,Qena,Medical and Aromatic plants,1,3,,
0,0,0,Dakahlia,Medical and Aromatic plants,1,4,,
0,0,0,Minya,Medical and Aromatic plants,1,5,,
0,0,0,Port said,Medical and Aromatic plants,1,6,,
0,0,0,Ismailia,Medical and Aromatic plants,1,7,,
0,0,0,Kafr el sheikh,Medical and Aromatic plants,1,8,,
0,0,0,Sharkia,Medical and Aromatic plants,1,9,,
0,0,0,Gharbia,Medical and Aromatic plants,1,10,,
0,0,0,Cairo,Medical and Aromatic plants,1,11,,
0,0,0,Quliubiya,Medical and Aromatic plants,1,12,,
0,0,0,Beni sweif,Medical and Aromatic plants,1,13,,
78779420.4231626,41788.411521900525,234827.37000000002,Fayoum,Medical and Aromatic plants,1,14,,
46000.0,22.5,0,Sohag,Medical and Aromatic plants,0,15,,
12141000.0,5922.0,0,Assuit,Medical and Aromatic plants,0,16,,
0,0,0,Behaira,Medical and Aromatic plants,1,17,,
0,0,0,Alexandria,Medical and Aromatic plants,1,18,,
0,0,0,Giza,Medical and Aromatic plants,1,19,,
0,0,0,Damietta,Medical and Aromatic plants,0,20,,
0,0,0,Monoufia,Medical and Aromatic plants,0,21,,
0,0,0,Suez,Medical and Aromatic plants,0,22,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
