sol_index,Crop_Name,Water,Area,Production
5,sugar Beet,872949520.0936633,356696.1538693736,7377445.890000003
5,Fully grown Onions,135523687.2413501,97931.51206904187,1672129.3700000003
5,Garlic,109100666.54355186,43405.159556786704,283753.0
5,Lfax,17000730.812617846,11450.618022449551,54671.70750593825
5,Others,10900000.0,1219.648651672821,62202.08123531387
6,Wheat,7974205398.461252,2865782.5664856774,7437624.12351325
6,Barley,2958495.868263477,15787.791826347326,28076.62000000004
6,Forestation Alfalfa,240026798.0350308,168602.1547132315,1905069.33
6,Sustains Alfalfa,2475349290.293944,1175340.2613845454,37254775.62
6,vegetables,252044755.02516383,705093.72708561,11344773.448828664
6,Medical and Aromatic plants,112456154.34428838,69584.41081257709,297884.29
6,fully grown Beans,64789141.81818182,51271.299545454545,65069.35
6,lentils,1305000.0,1360.0,1384.0
6,Fenugreek,6741414.965986392,4393.1140816326515,2770.5199999999986
6,chickpeas,8609267.999999993,3394.3099999999977,3258.3099999999977
6,Lupine,144919.9999999944,105.53379310344462,64.95999999999721
6,sugar Beet,831888251.669989,354863.5428485486,7377445.890000001
6,Fully grown Onions,135589352.99302635,108734.07555611123,1672129.3699999999
6,Garlic,54044152.35807309,27402.179036540652,283753.0
6,Lfax,16734000.0,11271.0,53778.0
6,Others,10900000.0,1219.648651672821,62202.08123531387
7,Wheat,6975903416.00337,2865454.9344194876,7344499.323623849
7,Barley,2958495.868263477,15787.791826347326,28076.62000000004
7,Forestation Alfalfa,236300999.18639195,167476.7641690909,1905069.3300000003
7,Sustains Alfalfa,2475677389.866128,1175506.2530465412,37254775.62
7,vegetables,246352323.26074368,705777.8390514299,11344773.44882866
7,Medical and Aromatic plants,112543045.1054391,69650.3357021645,297884.29000000004
7,fully grown Beans,64789141.81818184,51271.29954545456,65069.35000000002
7,lentils,1305000.0,1360.0,1384.0
7,Fenugreek,6741414.965986373,4393.114081632637,3204.5199999999836
7,chickpeas,8609267.999999993,3394.3099999999977,3258.3099999999977
7,Lupine,144919.9999999944,105.53379310344462,64.95999999999721
7,sugar Beet,823066234.3021502,354524.06330384803,7377445.890000001
7,Fully grown Onions,135589352.99302638,108734.07555611125,1672129.37
7,Garlic,55308565.305348344,28216.65267416867,283753.0
7,Lfax,16827000.0,11333.0,54067.0
7,Others,10900000.0,1219.648651672821,62202.08123531387
9,Wheat,4934566211.914513,2786727.394283873,7780077.305504871
9,Barley,6926061.072902338,22020.459174690506,28961.619999999995
9,Forestation Alfalfa,233165674.41681725,166592.5224444989,1905069.33
9,Sustains Alfalfa,4961035376.234829,1337971.6361966445,37254775.61999999
9,vegetables,801196521.5573096,590741.6842986102,11344773.448828662
9,Medical and Aromatic plants,113666175.5315721,70767.49294562929,297884.2900000001
9,fully grown Beans,77428502.06611568,50615.359366391174,65069.34999999999
9,lentils,1305000.0,1360.0,1384.0
9,Fenugreek,4957000.0,2700.0,2743.0
9,chickpeas,8432000.0,3331.0,3195.0
9,Lupine,114000.0,85.0,63.0
9,sugar Beet,820636782.205883,354371.0127029431,7377445.890000001
9,Fully grown Onions,241746002.38201404,122247.76863698622,1672129.37
9,Garlic,107219176.97753157,43396.63711911358,283753.0
9,Lfax,16827000.0,11333.0,54067.0
9,Others,10900000.0,1219.648651672821,62202.08123531387
14,Wheat,5306897808.21426,2824499.287307454,7780077.305504872
14,Barley,10127760.021890251,19890.74181675386,27349.620000000054
14,Forestation Alfalfa,225528433.78207502,161330.81048922925,1905069.3300000003
14,Sustains Alfalfa,2736455434.418306,1260916.1095499143,37254775.62
14,vegetables,730483047.0931288,713254.0180060291,11457941.00341729
14,Medical and Aromatic plants,85808000.0,55734.0,294857.0
