sol_index,City,Labels,Wheat,Barley,Forestation Alfalfa,Sustains Alfalfa,vegetables,Medical and Aromatic plants,fully grown Beans,lentils,Fenugreek,chickpeas,Lupine,sugar Beet,Fully grown Onions,Garlic,Lfax,Others
Orginal,Suez,Area,0.0009647488463368615,6.929695637668415e-05,0.0,0.0005460938196416256,0.0006689691544851607,0.0,0.0001392699806204579,0.0,0.0,0.0,0.0,0.0,7.064909211086336e-05,5.915593837034014e-06,0.0,0.0
Orginal,Suez,Production,0.000200225549375778,5.712078297308577e-06,0.0,0.0010485173506804162,0.000478294338304191,0.0,1.2222471151831365e-05,0.0,0.0,0.0,0.0,0.0,7.983145572142108e-05,2.2022470543840296e-06,0.0,0.0
Orginal,Damietta,Water,0.0033365364779341608,3.5581709957351763e-06,0.00031794234608558097,0.007856836910916128,0.001805020610903169,1.3995472583225027e-05,0.00047497629269736006,1.4232683982940705e-05,0.0,0.0,0.0,0.0009739900072325755,0.00020471343795463046,3.779568302136476e-05,0.0001496803932205931,0.0
Orginal,Damietta,Area,0.004251283765226187,4.05640720253761e-06,0.0004989380859121259,0.008549047196314784,0.003750655509646337,2.3324341414591252e-05,0.0002229333791727961,3.397241032125248e-05,0.0,0.0,0.0,0.0009106634169696933,0.0002695820620019786,4.37753943940517e-05,0.0002144825308341761,0.0
Orginal,Damietta,Production,0.0009014347755357429,1.0460673508324142e-06,0.0003629578426506679,0.014182415974056792,0.004730701953698693,2.22977514256383e-06,2.7294099430272067e-05,2.7665728620699373e-06,0.0,0.0,0.0,0.0015290476579470115,0.0003105168346681482,2.0604774002580576e-05,8.565364637144885e-05,0.0
Orginal,Dakahlia,Water,0.03314950240560034,1.5023388648659632e-06,0.0015396601250878966,0.02698327114045785,0.007301208742315438,1.1702429052640136e-05,0.0009757295574971572,7.567043650930141e-05,0.0,0.0,0.0,0.013018003475463287,0.0032550148268985393,0.00027658849206848104,0.0005047858585949637,0.0
Orginal,Dakahlia,Area,0.040583847010488464,7.943797438302818e-06,0.002551480130396156,0.027763403029901577,0.013516481753801969,6.152217590515374e-05,0.001209485414223297,0.00018017208657937882,0.0,0.0,0.0,0.014805041204428411,0.003747444187277661,0.0003204561690004711,0.0007249137704868253,0.0
Orginal,Dakahlia,Production,0.013314992151467192,1.0735954390122145e-06,0.00167818107566108,0.04649754234001582,0.017048340436074328,4.858707563734766e-06,0.0001642601021688688,1.5457021512957907e-05,0.0,0.0,0.0,0.02683195788590958,0.003928189363037063,0.00015996572041281995,0.000288755880962016,0.0
Orginal,Sharkia,Water,0.050332779919137795,0.0003099562289618198,0.00039867329245548355,0.02419311158653547,0.007991256704088347,8.223328523476852e-06,0.0008410725529252237,1.407454304979692e-05,1.5023388648659632e-06,0.0,2.2930435305848915e-06,0.00963188981498855,0.002288220232124006,9.322408008826161e-05,0.0002144391053429733,0.0
Orginal,Sharkia,Area,0.06159738845536746,0.0009862140011169562,0.0006257008109914262,0.028239016774399113,0.00035255936225014797,1.2676272507930028e-05,0.001629830610586257,3.3465359420935274e-05,1.6901696677240039e-06,0.0,5.070509003172012e-06,0.013114364485804091,0.00297774092059615,0.00016208727113473198,0.0003557807150559028,0.0
Orginal,Sharkia,Production,0.012482432652557308,8.736038783859647e-05,0.0006229055793325228,0.07207057193324268,0.00044468317577354044,7.019662485849095e-07,0.00016431515834522842,2.6564605093507357e-06,1.1011235271920148e-07,0.0,2.4775279361820334e-07,0.02162901157948641,0.0030591000911125857,8.625926431140446e-05,0.00016790757385269235,0.0
Orginal,Quliubiya,Water,0.006840148851734731,0.0004693622895707557,0.006057430303139564,0.004552640253809872,2.3800210438139735e-05,0.0,0.0,0.0,0.0,0.0,6.460057118923642e-05,0.002195944997634607,2.759559283359059e-05,7.353553391186031e-06,0.0,0
Orginal,Quliubiya,Area,0.00793331838636293,0.0007365759411941209,0.00606179351329214,0.005678278142076303,3.498651212188688e-05,0.0,0.0,0.0,0.0,0.0,4.9860005197858115e-05,0.002241841047269119,3.194420671998367e-05,1.0479051939888824e-05,0.0,0
Orginal,Quliubiya,Production,0.0018548288175108591,0.0006925378783833278,0.015260622367839122,0.007162013060803096,1.940730216675926e-05,0.0,0.0,0.0,0.0,0.0,7.702359072708144e-05,0.002554097313454148,2.4114605245505125e-05,3.9778087419811535e-06,0.0,0
Orginal,Kafr el sheikh,Water,0.033514807961162484,4.5465518278838363e-05,0.003123678781922625,0.0177604128490457,0.0031247857684546317,0.000675657136856824,0.001315811634222868,0.0,0.0,0.0,0.0,0.0026663352032707975,0.00021254141414524786,2.055832130869213e-06,0.00023531370851795298,0.0
Orginal,Kafr el sheikh,Area,0.039353065458451846,7.521255021371817e-05,0.0049023371212334734,0.018061153069298706,0.01368549872057437,0.0011273431683719106,0.0013756290925605668,0.0,0.0,0.0,0.0,0.02268478121232449,0.00024625772058738734,2.3662375348136055e-06,0.00033718884871093875,0.0
Orginal,Kafr el sheikh,Production,0.008114826181950183,8.368538806659313e-06,0.0072917501094182414,0.0687142373100087,0.017048340436074328,5.751994025169287e-05,0.00013711740722358566,0.0,0.0,0.0,0.0,0.03433281135314158,0.0003281072830150406,7.707864690344103e-07,0.0001349839803896511,0.0
Orginal,Gharbia,Water,0.019667750643692902,1.2651274651502848e-06,0.0008567285053064585,0.015531732678250332,0.003687293067647077,0.0002285136483927702,0.0002761140692690497,0.0,0.0,0.0,0.0,0.0031846421116495547,0.002366341853097036,4.388410894740051e-05,0.0003172307118864339,0.0
Orginal,Gharbia,Area,0.022811036886503475,1.6901696677240039e-06,0.001344529970674445,0.015542969281356712,0.00035255936225014797,0.0003392170523122076,0.0001238894366441695,0.0,0.0,0.0,0.0,0.0024575066968707017,0.0073219840175471574,5.087410699849252e-05,0.0004544866236509846,0.0
Orginal,Gharbia,Production,0.004685376956510653,3.441011022475046e-07,0.001967611394783501,0.03913208577449616,0.00044468317577354044,6.543426560338547e-05,1.2401403725000066e-05,0.0,0.0,0.0,0.0,0.004837923857159016,0.012289970024048235,3.72867954395396e-05,0.0001554511139513327,0.0
Orginal,Monoufia,Water,0.018102787969302,2.3721139971567842e-07,0.0009904366642795293,0.016959508093139,0.008610378457346267,8.144258056904959e-05,1.4153613516368811e-05,0.0,0.0,0.0,0.0,0.00037866846441279465,0.00014161520563026002,2.055832130869213e-05,6.404707792323317e-06,0.0
