water,area,prod,city,name,visited,rank,season,region_name
965000.0,372.0,341.0,Qena,Fenugreek,1,7,,
201000.0,74.0,57.0,Luxor,Fenugreek,1,8,,
0,0,0.0,Alexandria,Fenugreek,0,9,,
0,0,0.0,Behaira,Fenugreek,0,10,,
0,0,0.0,Cairo,Fenugreek,0,11,,
0,0,0.0,Dakahlia,Fenugreek,0,12,,
0,0,0.0,Damietta,Fenugreek,0,13,,
0,0,0.0,Fayoum,Fenugreek,0,14,,
0,0,0.0,Gharbia,Fenugreek,0,15,,
0,0,0.0,Giza,Fenugreek,0,16,,
0,0,0.0,Ismailia,Fenugreek,0,17,,
0,0,0.0,Kafr el sheikh,Fenugreek,0,18,,
0,0,0.0,Monoufia,Fenugreek,0,19,,
0,0,0.0,Port said,Fenugreek,0,20,,
0,0,0.0,Quliubiya,Fenugreek,0,21,,
0,0,0.0,Suez,Fenugreek,0,22,,
5357000.0,2269.0,3136.0,Minya,chickpeas,1,1,,
4035000.0,1709.0,1794.0,Beni sweif,chickpeas,1,2,,
165000.0,61.0,39.0,Luxor,chickpeas,1,3,,
4218000.0,1556.0,1357.0,Assuit,chickpeas,1,4,,
14000.0,5.0,5.0,Sohag,chickpeas,1,5,,
0,0,0.0,Alexandria,chickpeas,0,6,,
0,0,0.0,Aswan,chickpeas,0,7,,
0,0,0.0,Behaira,chickpeas,0,8,,
0,0,0.0,Cairo,chickpeas,0,9,,
0,0,0.0,Dakahlia,chickpeas,0,10,,
0,0,0.0,Damietta,chickpeas,0,11,,
0,0,0.0,Fayoum,chickpeas,0,12,,
0,0,0.0,Gharbia,chickpeas,0,13,,
0,0,0.0,Giza,chickpeas,0,14,,
0,0,0.0,Ismailia,chickpeas,0,15,,
0,0,0.0,Kafr el sheikh,chickpeas,0,16,,
0,0,0.0,Monoufia,chickpeas,0,17,,
0,0,0.0,Port said,chickpeas,0,18,,
0,0,0.0,Qena,chickpeas,0,19,,
0,0,0.0,Quliubiya,chickpeas,0,20,,
0,0,0.0,Sharkia,chickpeas,0,21,,
