sol_index,Labels,Wheat,Barley,Forestation Alfalfa,Sustains Alfalfa,vegetables,Medical and Aromatic plants,fully grown Beans,lentils,Fenugreek,chickpeas,Lupine,sugar Beet,Fully grown Onions,Garlic,Lfax,Others,Total
33,water,5310071011.965091,9370060.24759285,222076515.9014785,2823725698.544834,637630328.0523182,84952000.0,65587000.0,1305000.0,4957000.0,8432000.0,114000.0,681938000.0,135346000.0,63391000.0,16827000.0,10900000.0,10076622614.71
33,area,2843983.829951438,24592.581348005508,159633.73555559132,1273660.6438003778,694167.1765139676,55411.0,45353.0,1360.0,2700.0,3331.0,85.0,330429.0,88305.0,27275.0,11333.0,1219.648651672821,5562839.62
34,prod,7791118.897710546,33969.23999999998,1924437.6600000004,37627180.24,11256572.075360162,294857.0,60883.0,1384.0,2743.0,3195.0,63.0,7279705.0,1237889.0,255630.0,54067.0,62202.08123531387,67885896.19
34,water,5317337232.240562,11800096.657534242,222076515.9014785,2764350944.402133,710867622.734139,85808000.0,65835000.0,1305000.0,4957000.0,8432000.0,114000.0,706962000.0,140948000.0,69857000.0,16827000.0,10900000.0,10138377411.94
34,area,2828733.731962778,23357.94399999999,159633.73555559132,1271248.1621692372,700982.3934817736,55734.0,45443.0,1360.0,2700.0,3331.0,85.0,336782.0,91137.0,29759.0,11333.0,1219.648651672821,5562839.62
35,prod,7762414.9364699805,27622.239999999983,1924437.6600000004,37627180.24,11410013.763471425,294857.0,65729.69999999998,1384.0,2743.0,3195.0,63.0,7279705.0,1365049.1559739683,268872.0,54067.0,62202.08123531387,68149535.78
35,water,5294768676.971528,11486096.657534242,222076515.9014785,2773165222.6105986,720760420.296557,85808000.0,70859723.73175646,1305000.0,4957000.0,8432000.0,114000.0,706962000.0,158443919.60036063,73642000.0,16827000.0,10900000.0,10160507575.77
35,area,2815213.731962778,20313.94399999999,159633.73555559132,1275387.0725936359,701471.4830573748,55734.0,49410.559393679636,1360.0,2700.0,3331.0,85.0,336782.0,100442.44060632036,31213.0,11333.0,1219.648651672821,5565630.62
38,prod,7870695.539999998,27622.239999999983,1924437.6600000004,37627180.24,10289422.689537423,294857.0,64409.0,1384.0,2743.0,3195.0,63.0,7279705.0,1680242.5519747972,280885.0,54067.0,62202.08123531387,67463111.0
38,water,5307764604.498683,7880096.657534241,222076515.9014785,2801426503.11896,623181039.6052166,85808000.0,77832000.0,1305000.0,4957000.0,8432000.0,114000.0,706962000.0,213760617.81490427,77922000.0,16827000.0,10900000.0,10167148377.6
38,area,2848777.3781075496,17522.94399999999,159633.73555559132,1288010.0441011954,638879.9554050438,55734.0,48018.0,1360.0,2700.0,3331.0,85.0,336782.0,123182.91,32794.0,11333.0,1219.648651672821,5569363.62
39,prod,7870695.539999999,27622.239999999983,1924437.6600000004,37627180.24,10289422.689537423,294857.0,64409.0,1384.0,2743.0,3195.0,63.0,7279705.0,1646733.0,280885.0,54067.0,62202.08123531387,67429601.45
39,water,5307764604.498684,10491096.657534242,227261515.9014785,2801426503.11896,648902039.6052166,85808000.0,77832000.0,1305000.0,4957000.0,8432000.0,114000.0,706962000.0,210091000.0,77922000.0,16827000.0,10900000.0,10196995759.78
39,area,2848777.3781075496,18932.94399999999,162215.73555559132,1288010.0441011954,637554.8654050436,55734.0,48018.0,1360.0,2700.0,3331.0,85.0,336782.0,120366.0,32794.0,11333.0,1219.648651672821,5569213.62
40,prod,7933628.56068535,27894.860000000008,1943805.99,37999584.860000014,11593949.441841539,303938.87,66390.04999999996,1123.0,2825.5599999999968,3384.929999999993,68.88000000001767,6767140.1180324955,1722922.1099999996,289489.0,5086.0,62202.08123531387,68723434.31
40,water,5131151512.043457,3016543.493013973,205591082.41738567,3144270657.055834,112198807.08932234,147362814.6377963,74718549.42148757,957000.0,3844299.319727887,8489603.999999981,130760.00000003536,1128833719.7243226,121587505.76852135,55612017.06916172,1340000.0,10900000.0,10150004872.04
40,area,2768996.383647659,15884.464301397209,150821.90906855313,1405453.7722268112,557746.9064321822,135349.29432000648,53214.11764462807,1066.0,2782.311632653058,3299.929999999993,96.67034482760937,342568.8866333895,97802.78633641537,26959.534580857253,943.0,1219.648651672821,5564205.62
41,prod,7916077.4183404455,27894.860000000008,1943805.9899999998,37999584.86,11593949.441841539,303938.86999999994,66390.05,1316.0,3259.5599999999968,3384.9300000000003,68.87999999999546,7572927.669999997,1657373.0055402047,6316.0,26065.0,62202.08123531387,69184554.62
41,water,4625053959.594155,2894543.493013973,206842815.59821302,2871141047.80389,359252105.5703759,101979400.62487563,74460013.88429752,1135000.0,4741299.3197278865,8545404.0,130759.99999999092,1050080344.7642827,138746515.7509773,699000.0,7724000.0,10900000.0,9464326210.4
